                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8165,                 2.3886,                 1.9049,                 1.3438,                0.63115,                0.33041,                0.45586,                0.21648,                0.58332,                0.30537,                0.37924,                0.13054,                 1.7365,                 3.4992,                 2.0694,                 1.2677,               0.066715,             3.3318e-05,             3.3318e-05
                      1,                 1.6588,                 2.1895,                 1.6631,                 1.2657,                0.57823,                0.54211,                0.53764,                0.26358,                0.59869,                 0.5613,                0.56686,                0.26368,                 1.6618,                 2.1828,                 1.5295,                 1.2101,               0.033414,             6.5992e-05,             6.5992e-05
                      2,                 1.5991,                 2.0958,                 1.5608,                 1.2358,                 0.6054,                0.54049,                0.55946,                0.28604,                0.60795,                0.54276,                0.56081,                0.25727,                 1.5278,                 2.2025,                 1.5738,                 1.1789,             0.00011316,             9.8005e-05,             9.8005e-05
                      3,                 1.5613,                 2.0175,                 1.5026,                 1.2212,                0.56768,                0.57203,                0.57059,                0.28632,                0.57532,                0.56911,                0.57518,                0.26438,                 1.5489,                 2.1379,                 1.4994,                 1.1788,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                 1.5444,                 1.9886,                 1.4667,                 1.2134,                0.59763,                0.58146,                0.59314,                0.30399,                0.60098,                0.58472,                0.60028,                 0.2808,                 1.5369,                 2.1295,                 1.4632,                 1.1671,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                 1.5313,                 1.9743,                 1.4459,                 1.2067,                0.59476,                0.60618,                 0.6111,                0.31769,                0.60179,                0.59935,                0.61293,                0.28679,                 1.5029,                  2.154,                 1.3429,                 1.1517,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                 1.5252,                 1.9584,                 1.4239,                 1.2031,                0.58664,                0.59285,                0.60332,                0.30658,                0.59783,                0.59935,                0.61481,                 0.2922,                 1.5353,                 2.0196,                 1.3463,                 1.1659,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.5186,                 1.9576,                 1.4074,                 1.2007,                0.62388,                0.63976,                0.65124,                0.33621,                0.63656,                0.64293,                0.66098,                0.31587,                 1.5116,                 2.0682,                 1.1902,                 1.1587,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 1.5049,                 1.9246,                 1.3893,                 1.1968,                0.65003,                 0.6465,                0.67477,                0.35471,                  0.661,                0.65171,                0.68648,                0.32996,                 1.5076,                 2.0693,                  1.153,                 1.1585,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                 1.5075,                  1.927,                 1.3818,                 1.1958,                0.65133,                0.67187,                0.69088,                0.36934,                0.66394,                0.66433,                0.69192,                0.32903,                 1.4736,                 2.1186,                 1.1093,                 1.1453,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                 1.5017,                 1.9386,                 1.3731,                 1.1935,                 0.6779,                0.64488,                0.70321,                0.37762,                0.69184,                0.65366,                0.71217,                0.35171,                 1.4825,                 2.0589,                 1.0989,                 1.1459,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                 1.4924,                 1.9149,                 1.3579,                 1.1919,                 0.6607,                0.67154,                0.70301,                0.37858,                0.67648,                0.67387,                0.70753,                0.35325,                 1.4684,                  2.008,                 1.0941,                 1.1446,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                  1.488,                 1.9089,                 1.3524,                 1.1935,                0.66876,                 0.6743,                0.70796,                0.38234,                 0.6821,                0.68228,                0.71996,                0.35283,                 1.4797,                 2.0293,                 1.0874,                 1.1474,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                 1.4872,                 1.8974,                 1.3435,                 1.1908,                0.68413,                0.65561,                 0.7085,                0.38433,                0.68175,                0.68358,                 0.7212,                0.35691,                 1.4762,                 2.0435,                 1.0824,                  1.143,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                  1.485,                 1.9022,                 1.3344,                 1.1892,                0.69071,                0.65218,                0.71009,                0.38522,                0.70542,                0.65724,                0.71919,                0.36149,                 1.4854,                 2.0005,                 1.0784,                  1.147,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                  1.479,                  1.903,                 1.3264,                 1.1897,                0.68248,                0.66602,                0.70887,                0.38469,                0.69082,                 0.6765,                0.71829,                 0.3611,                  1.489,                 2.0165,                 1.0818,                 1.1447,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                  1.481,                 1.9052,                 1.3194,                 1.1907,                0.67763,                0.66829,                0.71348,                0.38953,                0.68983,                0.68033,                0.72498,                 0.3653,                 1.4683,                 2.0072,                 1.0743,                 1.1408,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                 1.4753,                 1.8997,                 1.3124,                 1.1886,                0.69525,                0.65659,                0.71512,                 0.3935,                 0.7104,                0.67089,                0.72638,                0.36571,                 1.4685,                  1.981,                 1.0615,                 1.1393,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                 1.4677,                 1.8859,                 1.3082,                 1.1838,                0.67479,                0.67447,                 0.7136,                0.38984,                0.69362,                0.68358,                0.72853,                0.36666,                 1.4755,                 1.9777,                  1.067,                 1.1401,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                 1.4711,                 1.8745,                 1.3061,                 1.1865,                0.68595,                0.66211,                0.71799,                0.39374,                 0.6965,                0.66927,                 0.7246,                0.36346,                 1.4647,                 1.9972,                 1.0648,                 1.1388,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                 1.4622,                 1.8779,                 1.2894,                 1.1809,                 0.6809,                0.66374,                0.71839,                 0.3952,                0.69506,                0.67382,                0.72588,                0.36403,                 1.4621,                 2.0008,                  1.066,                 1.1385,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                 1.4655,                 1.8799,                 1.2864,                 1.1838,                 0.6911,                0.66717,                0.72317,                0.39759,                0.70116,                0.67285,                0.72789,                0.36385,                 1.4629,                 1.9944,                 1.0616,                 1.1399,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                 1.4601,                 1.8622,                 1.2784,                 1.1831,                 0.7007,                0.66238,                0.72175,                0.39888,                0.71206,                0.67311,                0.73155,                0.36806,                 1.4572,                 1.9715,                 1.0584,                 1.1378,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                 1.4564,                 1.8636,                 1.2727,                 1.1807,                0.69451,                0.66602,                0.72045,                0.39765,                 0.7081,                0.67772,                0.73012,                0.36725,                 1.4533,                 1.9798,                 1.0578,                 1.1371,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                 1.4542,                 1.8529,                 1.2646,                 1.1791,                0.68086,                0.67991,                0.72183,                0.39878,                0.70545,                0.68358,                0.73259,                 0.3688,                  1.453,                 1.9826,                 1.0538,                 1.1377,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                   1.45,                 1.8508,                 1.2558,                 1.1776,                 0.6856,                0.67796,                0.72253,                 0.3991,                0.71139,                0.67707,                0.73213,                0.36975,                 1.4553,                 1.9764,                 1.0518,                 1.1392,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                 1.4486,                 1.8457,                 1.2551,                 1.1762,                0.67719,                0.68493,                0.72374,                0.39859,                0.71517,                 0.6761,                 0.7335,                0.37027,                 1.4561,                 1.9713,                 1.0508,                 1.1389,              7.525e-05,              7.525e-05,              7.525e-05
